Ticker,Revenue,Operating_Margin,Net_Margin,ROE,Total_Debt,Total_Cash,EBITDA,Interest_Expense
MMM,24824999936,0.24367,0.137,0.72920996,13178999808.0,5187999744.0,6160999936.0,1191000000.0
AOS,3830099968,0.18631001,0.13851,0.28209,222500000.0,172800000.0,784300032.0,6700000.0
ABT,43842998272,0.19395,0.3188,0.3062,12974999552.0,7733000192.0,11747000320.0,559000000.0
ABBV,59643998208,0.35497,0.04004,1.37961,68849000448.0,5671000064.0,29518999552.0,2808000000.0
ACN,69672976384,0.1522,0.11021,0.25509,8182865920.0,11484674048.0,12222531584.0,228555000.0
ADBE,23181000704,0.36289,0.30012,0.52875,6655000064.0,5944999936.0,9059999744.0,169000000.0
AMD,32027000832,0.13736,0.10323,0.05317,3870000128.0,7242999808.0,6054000128.0,92000000.0
AES,12094000128,0.20501,0.0874,0.05106,31894999040.0,1758000000.0,3206000128.0,1485000000.0
AFL,17700999168,0.4327,0.23552,0.1558,14344999936.0,9130000384.0,5358000128.0,197000000.0
A,6787999744,0.23188,0.17973,0.19881001,3593999872.0,1535000064.0,1838000000.0,96000000.0
APD,12037300224,0.25226998,-0.03277,-0.01923,18314399744.0,1856000000.0,4408200192.0,
ABNB,11943000064,0.39683,0.2203,0.30776,2278000128.0,11683999744.0,2760999936.0,
AKAM,4133201920,0.15743,0.12262999,0.10642,5231072256.0,1118739968.0,1173728000.0,27117000.0
ALB,4946415104,-0.02244,-0.00428,0.00209,3764165888.0,1931757952.0,696873984.0,165619000.0
ARE,3058394880,0.19073,-0.13436,-0.01084,13955526656.0,579473984.0,1958758016.0,185838000.0
ALGN,3982621952,0.15673,0.095010005,0.095769994,121271000.0,1004588992.0,810888000.0,
ALLE,3979699968,0.21856001,0.16092,0.36411,2259699968.0,302700000.0,961600000.0,102000000.0
LNT,4273999872,0.28843,0.19139,0.11461,11921000448.0,753000000.0,1864999936.0,449000000.0
ALL,66845999104,0.24439,0.12533,0.34469002,8089999872.0,9674000384.0,10065000448.0,400000000.0
GOOGL,385476001792,0.30512,0.32233003,0.3545,44195000320.0,98496004096.0,145174003712.0,268000000.0
GOOG,385476001792,0.30512,0.32233003,0.3545,44195000320.0,98496004096.0,145174003712.0,268000000.0
MO,20166000640,0.62826,0.4398,,25700999168.0,3472000000.0,12608000000.0,1124000000.0
AMZN,691330023424,0.11057,0.11063,0.24327,160437993472.0,94196998144.0,139696996352.0,2406000000.0
AMCR,17400999936,0.0933,0.03345,0.07467,15797999616.0,825000000.0,2472999936.0,396000000.0
AEE,8634999808,0.34,0.1634,0.11387,20103999488.0,9000000.0,3544999936.0,663000000.0
AEP,21257000960,0.25885,0.17228001,0.12923001,47890001920.0,1293100032.0,8757300224.0,1862800000.0
