Ticker,Revenue,Operating_Margin,Net_Margin,ROE,Total_Debt,Total_Cash,EBITDA,Interest_Expense,Net_Debt,Net_Debt_to_EBITDA,Interest_Coverage
MMM,24824999936,0.24367,0.137,0.72920996,13178999808.0,5187999744.0,6160999936.0,1191000000.0,7991000064.0,1.2970297268316673,5.172963842149454
AOS,3830099968,0.18631001,0.13851,0.28209,222500000.0,172800000.0,784300032.0,6700000.0,49700000.0,0.06336860636517225,117.05970626865671
ABT,43842998272,0.19395,0.3188,0.3062,12974999552.0,7733000192.0,11747000320.0,559000000.0,5241999360.0,0.4462415269603057,21.014311842576028
ABBV,59643998208,0.35497,0.04004,1.37961,68849000448.0,5671000064.0,29518999552.0,2808000000.0,63178000384.0,2.1402486989000784,10.512464227920228
ACN,69672976384,0.1522,0.11021,0.25509,8182865920.0,11484674048.0,12222531584.0,228555000.0,-3301808128.0,-0.27014110009110204,53.477419369517186
ADBE,23181000704,0.36289,0.30012,0.52875,6655000064.0,5944999936.0,9059999744.0,169000000.0,710000128.0,0.0783664622584784,53.6094659408284
AFL,17700999168,0.4327,0.23552,0.1558,14344999936.0,9130000384.0,5358000128.0,197000000.0,5214999552.0,0.9733108300515516,27.1979701928934
A,6787999744,0.23188,0.17973,0.19881001,3593999872.0,1535000064.0,1838000000.0,96000000.0,2058999808.0,1.1202392861806312,19.145833333333332
ALLE,3979699968,0.21856001,0.16092,0.36411,2259699968.0,302700000.0,961600000.0,102000000.0,1956999968.0,2.035149717138103,9.427450980392157
ALL,66845999104,0.24439,0.12533,0.34469002,8089999872.0,9674000384.0,10065000448.0,400000000.0,-1584000512.0,-0.1573770930447156,25.16250112
GOOGL,385476001792,0.30512,0.32233003,0.3545,44195000320.0,98496004096.0,145174003712.0,268000000.0,-54301003776.0,-0.37404082265116667,541.6940437014925
GOOG,385476001792,0.30512,0.32233003,0.3545,44195000320.0,98496004096.0,145174003712.0,268000000.0,-54301003776.0,-0.37404082265116667,541.6940437014925
AMZN,691330023424,0.11057,0.11063,0.24327,160437993472.0,94196998144.0,139696996352.0,2406000000.0,66240995328.0,0.47417623182885027,58.06192699584373
AME,7164270080,0.25787002,0.20502001,0.14632,2746409984.0,439236992.0,2267057920.0,112962000.0,2307172992.0,1.0176947715566085,20.069208406366744
AMGN,35970998272,0.34153,0.19474001,0.8171,54586998784.0,9445000192.0,16481000448.0,3155000000.0,45141998592.0,2.7390326657917217,5.223771932805072
APH,20973500416,0.27481002,0.18218,0.34807998,8067100160.0,3888100096.0,6062700032.0,217000000.0,4179000064.0,0.6892968548571594,27.938709824884793
APA,9376000000,0.27281,0.16093999,0.27427998,4591000064.0,475000000.0,5831000064.0,373000000.0,4116000064.0,0.7058823561693585,15.632707946380696
